,quarter,nlp_return,HS300Index
0,2017Q1,7.516540823458908,4.4165320563281485
1,2017Q2,4.938161297628636,6.146447267375299
2,2017Q3,9.58753755684058,4.65949931794285
3,2017Q4,7.005468109287546,5.089232870912275
4,2018Q1,2.617314058623122,-3.2713262845975866
5,2018Q2,-6.635221126171745,-9.947194856868824
6,2018Q3,-2.5182684637224977,-2.0401878001481855
7,2018Q4,-10.025741144541412,-12.455616552447657
8,2019Q1,38.92719911234967,28.62442294562506
9,2019Q2,0.17894883815479012,-1.1800961391164155
10,2019Q3,7.582313226004661,-0.2532876547112539
11,2019Q4,9.924885441427081,7.383089623373484
12,2020Q1,3.9624009377159886,-10.029190544034162
13,2020Q2,35.10319904697148,12.980468321495952
14,2020Q3,4.358363818683516,10.191733009817971
15,2020Q4,11.727321051170332,13.562506201351376
16,2021Q1,-9.182747920293119,-3.1514745372984487
17,2021Q2,13.602184112138737,3.466200343199266
18,2021Q3,-5.710945715128795,-6.828607632257322
19,2021Q4,5.024316172794723,1.5337270488697374
20,2022Q1,-22.0127844768871,-14.51997522044076
21,2022Q2,2.020103520793813,6.233566081953068
22,2022Q3,-9.955586443954369,-15.137623354397968
23,2022Q4,14.278628703910591,1.744680814661459
24,2023Q1,32.09812173060497,4.650627452060485
25,2023Q2,5.5226068325105135,-5.154246890451242
26,2023Q3,-12.883606562116933,-3.945940759008903
27,2023Q4,-8.280400150593241,-6.993919235598833
28,2024Q1,-1.7713679020396382,3.141921979573259
29,2024Q2,-10.148632090314065,-2.1062085510748174
30,2024Q3,22.218127075173165,16.063165384709464
31,2024Q4,9.95825826184021,-2.0686587505612253
32,2025Q1,1.6469424733209221,-1.2279755019051652
33,2025Q2,6.031897629786474,1.3318245965016962
34,2025Q3,21.596931062931805,17.8954093930918
35,2025Q4,-3.076743151458305,-1.2037695608106525
